subject,word,vowel,start,end,duration,f0_20,f0_50,f0_80,f1_20,f1_40,f1_50,f1_60,f1_80,f2_20,f2_40,f2_50,f2_60,f2_80,f3_20,f3_40,f3_50,f3_60,f3_80,age,sex,f1_norm,f2_norm,f3_norm,v_length
ar_004,tan,a,485.1781516,485.4107878,232.6361204,228.3106352,211.4317094,217.3304289,1108.16523,922.3678885,980.248103,361.8229398,729.9696743,1775.730557,1273.067063,1753.909703,921.2381042,1617.500022,3215.963342,2250.382089,3370.337709,1787.324756,3050.534883,38,F,-0.384564223,0.197232762,0.8503983,short
ar_004,llen,e,108.1185147,108.2693106,150.7958452,242.0192556,220.6940352,196.2170485,741.6211595,725.9828677,689.6048675,668.001572,642.599663,1371.225907,2435.429019,2438.89838,2423.503498,2412.393347,2393.373392,3376.029326,3429.738295,3451.512673,3521.052202,38,F,-0.736251151,0.526931804,0.867869309,short
ar_004,llen,e,111.1575998,111.3236248,166.0250513,240.0850279,213.650281,210.5145924,719.399462,662.3494534,654.212895,658.4559199,646.5692765,1882.644683,2432.556834,2464.325824,2455.74194,2412.252227,3039.101881,3370.118609,3202.496017,3251.735661,3173.589741,38,F,-0.788937103,0.537303621,0.799315861,short
ar_004,llen,e,114.3099492,114.4232629,113.3136598,231.8633262,217.6339152,215.4753183,711.9686521,692.5036514,686.6486738,684.4222455,665.8056494,1686.039369,2350.312481,2414.946309,2473.755923,2384.539419,2938.485012,3364.748072,3335.789297,3425.031651,3365.118396,38,F,-0.74054716,0.517062404,0.840094672,short
ar_004,llen,e,117.3885357,117.5469767,158.4409546,209.8800456,205.8385714,205.9216847,691.5967392,729.1149578,709.454652,685.7174747,679.7754892,2151.008578,2354.980666,2320.427515,2344.678559,2356.218368,3442.035233,3317.080456,3305.140475,3293.667592,3242.324362,38,F,-0.70787335,0.477136792,0.830864326,short
ar_004,cyn,?,156.2230293,156.2922164,69.1871705,285.426034,274.4886882,263.0132976,575.6054931,576.5222072,625.511184,640.74958,592.665847,2615.571641,2720.316027,2714.961538,2686.749876,2611.493002,3122.73987,3495.150335,3424.77872,3456.325377,3342.5634,38,F,-0.833800719,0.634163137,0.866422212,short
ar_004,cyn,?,159.0514515,159.1541625,102.7109334,243.5906134,228.3152698,225.9594345,443.2756583,427.5709728,416.9869001,457.2138666,493.5227818,2871.124861,2896.954205,2931.598205,2914.175287,2740.503238,3552.301985,3528.189569,3589.049864,3574.511092,3538.582819,38,F,-1.239315122,0.710933087,0.913272855,short
ar_004,cyn,?,161.9849296,162.1034281,118.4984735,222.5347937,215.8566106,216.6279599,426.9603856,443.9396257,444.2438055,506.2956268,570.5270605,1911.389911,2833.244759,2846.723168,2833.331708,2763.775207,2969.19802,3465.612989,3531.263907,3516.938921,3516.101722,38,F,-1.175996406,0.681553917,0.897041204,short
ar_004,cyn,?,164.923838,165.0685568,144.7187577,230.0495841,221.5213572,226.2703859,444.3582423,433.5688944,444.635341,464.2544336,507.8841345,2815.378599,2875.799943,2863.3997,2834.215113,2820.250148,3491.526263,3558.091497,3561.975057,3517.913742,3470.569247,38,F,-1.175115441,0.687394975,0.905700532,short
ar_004,lle:n,e,167.2551953,167.4647176,209.522321,250.241341,233.857434,218.4622508,737.1736924,768.2474172,728.1233829,715.8423607,704.106348,1535.01058,2364.539119,2476.97492,2421.31499,2481.767696,2283.742867,2984.712169,3294.157652,3314.504437,3209.085565,38,F,-0.681899413,0.542423375,0.827535841,long
ar_004,lle:n,e,170.4367263,170.6952686,258.5423025,223.9696747,213.754539,219.507254,713.239125,692.4746425,704.0631175,688.3182988,692.7950636,2317.488232,2354.291144,2329.456416,2375.938993,2353.602849,3123.940906,3210.143071,3259.041603,3241.472386,3336.129031,38,F,-0.715501922,0.481020293,0.816818515,long
ar_004,lle:n,e,173.5183358,173.7396755,221.3397811,217.3085039,209.2214477,208.4583105,676.7600794,677.3795151,704.625372,709.0738714,686.3166643,2291.741366,2403.503667,2398.474299,2448.675696,2380.44817,3329.400625,3079.061224,3566.026636,3399.555959,3382.051844,38,F,-0.714703655,0.510218176,0.906837339,long
ar_004,lle:n,e,176.5431161,176.759884,216.7678738,209.6966933,191.4988708,192.2243178,722.2403132,671.6266897,706.5564296,712.7930756,689.0738062,2379.946852,2351.799257,2489.71917,2451.14256,2433.643553,3202.549732,3166.81935,3271.838956,3296.332796,3251.451367,38,F,-0.711966858,0.547555271,0.820737549,long
ar_004,twn,u,417.6806816,417.7925233,111.8416826,288.7168684,270.0154063,249.3085173,545.8566032,566.6133722,546.2863262,518.0557929,584.6304535,1159.502101,1111.563263,1072.698148,1147.890662,1286.913738,3278.611334,3307.236515,3292.497923,3345.194479,3210.751422,38,F,-0.969226684,-0.294437542,0.827031874,short
ar_004,twn,u,420.6366321,420.7356444,99.01225698,238.4987819,228.1015122,226.1174166,497.4176542,493.9663773,492.5654774,485.1596614,469.1583272,1170.248368,1152.029631,1153.77967,1197.650479,1372.981922,3363.537271,3484.291969,3506.237465,3573.841171,3205.713018,38,F,-1.072742528,-0.221571427,0.889928865,short
ar_004,twn,u,423.4129652,423.4898755,76.91037117,241.4573244,229.0392592,228.6900005,475.4710726,480.2874336,475.0530722,476.9459622,462.6664502,1298.780934,1268.619994,1257.325063,1276.726536,1387.01826,3184.633374,3214.353546,3214.159241,3220.055307,3142.743809,38,F,-1.1089434,-0.135628152,0.802951162,short
ar_004,twn,u,426.2677504,426.3703258,102.575407,240.5462342,230.1281229,227.6547129,501.0719768,464.5415745,453.7810486,444.269059,426.3639305,1203.136755,1135.083404,1139.402592,1115.481784,1192.205045,3417.747836,3464.886553,3461.861915,3321.828915,3264.059614,38,F,-1.154755119,-0.234110568,0.87719192,short
ar_004,cy:n,?,518.3188891,518.5004997,181.6106664,221.099298,209.1587353,209.0940673,450.1878895,456.4451305,554.751095,521.2599065,620.3626841,974.1512124,2760.314469,2743.55213,2751.760996,2724.940366,2790.605006,3415.389278,3463.884965,3501.459715,3465.592759,38,F,-0.953850393,0.644638828,0.877776131,long
ar_004,pi:n,i,580.5030535,580.7539142,250.8606717,273.3923156,247.1499841,201.4068073,310.5893447,439.243282,501.3165114,488.3049829,519.0946711,2981.68405,3008.497789,2976.571271,2938.21183,2781.668493,3593.562805,3619.962552,3644.854083,3639.136514,3662.444729,38,F,-1.055132268,0.726157408,0.928701682,long
ar_004,pi:n,i,583.2472212,583.5002108,252.9895992,228.6005579,215.1906627,212.9298331,401.7301632,423.3935731,416.5878526,423.7800262,546.2503613,2871.215701,2893.960231,2862.42076,2897.038433,2708.729693,3468.173723,3379.807205,3427.9055,3550.324375,3565.74408,38,F,-1.240272559,0.687053036,0.867334783,long
ar_004,pi:n,i,585.9787795,586.2678168,289.0373692,216.465971,208.22118,NA,429.7284662,407.3524266,397.4233152,408.0746794,587.2316755,2908.554379,2853.953646,2850.254608,2821.161746,2712.718307,3526.528015,3519.546454,3547.91675,3439.025886,3418.292459,38,F,-1.287367931,0.682793676,0.90174595,long
ar_004,ta:n,a,599.3122289,599.6072509,295.0220478,206.031745,NA,NA,896.8161128,985.8605631,972.4614367,1027.635835,260.4224507,1445.072315,1670.750327,1669.116954,1717.352382,1154.998654,2540.391146,2966.086887,3175.089194,3148.191342,1782.292027,38,F,-0.392539508,0.147680066,0.790721074,long
ar_004,ffon,o,640.3996081,640.6475738,247.9656906,239.6033045,221.7263463,193.7905715,684.6028113,690.4166694,653.4405011,642.509818,651.0048844,982.5249616,1033.818624,1008.683262,977.1822155,1087.256342,3295.968286,3214.403961,3263.533237,3328.388689,3321.667488,38,F,-0.790118447,-0.355968871,0.818195773,short
ar_004,ffon,o,642.654814,642.8284227,173.6086956,211.4945983,195.6450959,193.1887475,728.5111309,693.3074956,706.4569987,765.682349,744.7413722,1088.716115,1171.980024,1142.182223,1115.119482,1309.881114,3253.414316,3346.518297,3320.570233,3318.161051,3239.966596,38,F,-0.712107594,-0.231673986,0.835521875,short
ar_004,ffon,o,645.1870866,645.3385255,151.4388505,214.8156499,200.6894968,NA,723.0431161,775.5809209,697.9253343,652.643771,778.3383123,1050.738716,1105.359175,1163.705074,1163.171216,1286.931047,3281.53446,3263.005505,3270.328637,3237.623926,3156.571566,38,F,-0.724257803,-0.213005706,0.82027583,short
ar_004,ffon,o,647.5671157,647.7327628,165.6470553,214.1186549,203.2864848,197.2111719,772.2710514,777.8626237,741.9534897,721.6353112,679.5983817,1205.322445,1222.138468,1206.088544,1236.12,1382.082862,3299.154157,3289.213516,3260.183378,3209.456104,3252.335055,38,F,-0.66308337,-0.177232135,0.817168795,short
ar_004,pin,i,756.7235127,756.7866437,63.13099482,293.3865912,287.2223953,275.2553157,561.2912072,440.961054,578.6607899,609.7664038,626.3248852,1495.932779,881.0009524,2151.486719,2587.608806,2573.56052,2736.384689,2746.110924,3251.204989,3405.401043,3338.360471,38,F,-0.911653478,0.40154445,0.814411043,short
ar_004,pin,i,759.1133422,759.192718,79.37571909,232.1772446,225.2656633,223.8676786,518.983316,545.4713275,541.9739759,553.8883511,575.1569029,2772.278232,2734.082567,2723.58261,2708.167942,2639.626386,3402.496781,3412.727944,3411.917054,3398.262645,3377.465207,38,F,-0.977151944,0.6373335,0.862659669,short
ar_004,pin,i,761.771036,761.8590363,88.00028345,231.9316441,226.233019,220.0617147,553.7427808,587.735532,563.9195685,550.7291876,569.3729818,2722.529135,2693.670667,2676.12028,2644.407424,2594.619781,3428.819029,3386.649969,3399.533264,3379.175929,3379.492761,38,F,-0.937458297,0.619753439,0.859023497,short
ar_004,pin,i,764.2252224,764.3135735,88.35110581,218.9562964,212.0871787,211.8646964,457.5306693,489.3332698,526.4839042,554.6078814,549.2778377,2675.526057,2599.36163,2543.875536,2524.107065,2481.5294,3399.915479,3477.807621,3514.708253,3532.718911,3511.895608,38,F,-1.006149169,0.56907407,0.892341871,short
ar_004,tw:n,u,778.7443469,778.9320468,187.6998347,201.9993583,199.030099,202.8637972,392.7758451,375.4114581,372.3309734,412.9170197,383.9893366,1003.451743,964.1010231,976.6288776,874.277762,974.4636663,3205.91055,3277.729057,3352.269619,3433.459906,3294.157269,38,F,-1.352586757,-0.388263208,0.845022964,long
ar_004,tw:n,u,781.5678193,781.8767759,308.9565183,219.5548011,NA,220.0625948,426.5469772,383.9825716,403.4338983,412.4505812,422.3088143,852.240723,842.5760981,833.4768696,843.5943948,894.2887982,3059.146693,3076.265888,3110.038057,2664.513203,3296.322934,38,F,-1.272357276,-0.546763978,0.770020313,long
